id,title,category,tags,venue,startDate,endDate,match_status,match_score,place_name,place_type,address_full,district,lat,lon,osm_type,osm_id,osm_url,source_provider,source_url,raw_title,raw_date_text,scraped_at
kassir:krs:teatr:ischeznuvshiy-velosipedist-4,Исчезнувший велосипедист,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-23T00:00:00+07:00,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/ischeznuvshiy-velosipedist-4,Исчезнувший велосипедист,"13 , 23 июня",2026-04-23T08:07:39Z
kassir:krs:teatr:skazka-panelnyih-domov,Сказка панельных домов,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/skazka-panelnyih-domov,Сказка панельных домов,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:oblomov-3,Обломов,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/oblomov-3,Обломов,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:drugaya-jizn_2026-11-11,Другая жизнь,theatre,theatre,Красноярская краевая филармония,2026-11-11T19:00:00+07:00,2026-11-11T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/teatr/krasnoyarskaya-kraevaya-filarmoniya-2017/drugaya-jizn_2026-11-11,Другая жизнь,11 ноября 19:00 ср,2026-04-23T08:07:39Z
kassir:krs:teatr:domino-3,Домино,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-15T19:00:00+07:00,2026-05-15T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/domino-3,Домино,15 мая 19:00 пт,2026-04-23T08:07:39Z
kassir:krs:teatr:dvadtsat-minut-s-angelom-9,Двадцать минут с ангелом,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/dvadtsat-minut-s-angelom-9,Двадцать минут с ангелом,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:chelovek-iz-podolska-ktd-im-pushkina,Человек из Подольска,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/chelovek-iz-podolska-ktd-im-pushkina,Человек из Подольска,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:per-gyunt,Пер Гюнт,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-09T20:00:00+07:00,2026-06-09T22:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/per-gyunt,Пер Гюнт,9 июня 20:00 вт,2026-04-23T08:07:39Z
kassir:krs:teatr:ya-takoe-derevo,Я такое дерево,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-14T18:00:00+07:00,2026-06-14T20:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/ya-takoe-derevo,Я такое дерево,14 июня 18:00 вс,2026-04-23T08:07:39Z
kassir:krs:teatr:myi-geroi-1,"Мы, герои",theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-24T18:00:00+07:00,2026-05-24T20:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/myi-geroi-1,"Мы, герои",24 мая 18:00 вс,2026-04-23T08:07:39Z
